2023-04-19,1015,1707,26.251,4.063
2023-04-19,1003,1679,18.483,2.349
2023-04-19,1005,1659,21.297,2.899
2023-04-19,1009,1639,26.890,2.826
2023-04-19,1002,1637,22.711,2.599
2023-04-19,1019,1680,27.871,5.238
2023-04-19,1020,1667,25.800,5.245
2023-04-19,1011,1665,25.829,6.482
2023-04-19,1007,1621,25.919,4.675
2023-04-19,1004,1682,19.866,2.782
2023-04-19,1006,1709,22.963,3.894
2023-04-19,1013,1619,27.186,5.596
2023-04-19,1016,1659,27.368,5.468
2023-04-19,1010,1671,21.980,2.728
2023-04-22,1003,1103,18.476,2.265
2023-04-22,1018,1096,27.874,4.162
2023-04-22,1011,1089,25.772,6.254
2023-04-22,1000,1090,22.109,2.424
2023-04-22,1008,1108,29.427,4.011
2023-04-22,1015,1103,26.114,4.025
2023-04-22,1016,1133,27.577,5.484
2023-04-22,1002,1104,22.582,2.565
2023-04-22,1020,1074,25.897,5.317
2023-04-22,1007,1115,26.049,4.748
2023-04-22,1010,1114,22.147,2.990
2023-04-22,1006,1103,23.167,4.050
2023-04-22,1001,1107,18.265,1.814
2023-04-22,1013,1114,27.284,5.739
2023-04-22,1005,1117,21.441,3.036
2023-04-22,1014,1069,26.394,5.857
2023-04-22,1017,1123,28.245,5.395
2023-04-22,1012,1104,30.763,6.405
2023-04-22,1004,1101,19.799,2.782
2023-04-22,1019,1118,28.179,5.455
2023-04-22,1009,1072,26.703,2.812
